0	0	1	0	1108.128	0.00173		1	186.8e7
0	0	2	1	1108.634	0.00117		9	186.8e7
0	0	0	1	1110.063	0.000562	9	186.8e7
0	0	3	2	1110.120	0.00107		5	186.8e7
0	0	1	2	1112.495	0.000665	5	186.8e7
0	0	4	3	1112.584	0.00102		21	186.8e7
0	0	2	3	1115.896	0.000703	21	186.8e7
0	0	5	4	1116.013	0.00100		9	186.8e7
0	0	3	4	1120.247	0.000721	9	186.8e7
0	0	6	5	1120.399	0.000912	33	186.8e7
0	0	4	5	1125.539	0.000728	33	186.8e7
0	0	7	6	1125.725	0.000895	13	186.8e7
0	0	5	6	1131.752	0.000763	13	186.8e7
0	0	8	7	1131.947	0.000882	45	186.8e7
0	0	6	7	1138.860	0.000767	45	186.8e7

1	0	1	0	1092.194	0.00596		1	174.1e7
1	0	2	1	1092.732	0.00403		9	174.1e7
1	0	0	1	1094.052	0.00193		9	174.1e7
1	0	3	2	1094.244	0.00367		5	174.1e7
1	0	1	2	1096.439	0.00228		5	174.1e7
1	0	4	3	1096.725	0.00354		21	174.1e7
1	0	2	3	1099.788	0.00240		21	174.1e7
1	0	5	4	1100.165	0.00347		9	174.1e7
1	0	3	4	1104.084	0.00245		9	174.1e7
1	0	6	5	1104.547	0.00312		33	174.1e7
1	0	4	5	1109.313	0.00248		33	174.1e7
1	0	7	6	1109.859	0.00307		13	174.1e7
1	0	5	6	1115.453	0.00262		13	174.1e7
1	0	8	7	1116.051	0.00302		45	174.1e7
1	0	6	7	1122.490	0.00263		45	174.1e7

2	0	1	0	1077.138	0.0119		1	163.2e7
2	0	2	1	1077.698	0.00809		9	163.2e7
2	0	0	1	1078.925	0.00385		9	163.2e7
2	0	3	2	1079.226	0.00739		5	163.2e7
2	0	1	2	1081.265	0.00453		5	163.2e7
2	0	4	3	1081.710	0.00713		21	163.2e7
2	0	2	3	1084.559	0.00477		21	163.2e7
2	0	5	4	1085.144	0.00700		9	163.2e7
2	0	3	4	1088.794	0.00487		9	163.2e7
2	0	6	5	1089.512	0.00623		33	163.2e7
2	0	4	5	1093.955	0.00490		33	163.2e7
2	0	7	6	1094.794	0.00612		13	163.2e7
2	0	5	6	1100.016	0.00522		13	163.2e7
2	0	8	7	1100.976	0.00603		45	163.2e7
2	0	6	7	1106.966	0.00525		45	163.2e7

3	0	1	0	1062.883	0.0182		1	153.6e7
3	0	2	1	1063.460	0.0124		9	153.6e7
3	0	0	1	1064.606	0.00584		9	153.6e7
3	0	3	2	1064.995	0.0113		5	153.6e7
3	0	1	2	1066.901	0.00687		5	153.6e7
3	0	4	3	1067.478	0.0109		21	153.6e7
3	0	2	3	1070.142	0.00721		21	153.6e7
3	0	5	4	1070.898	0.0107		9	153.6e7
3	0	3	4	1074.313	0.00733		9	153.6e7
3	0	6	5	1075.244	0.00947		33	153.6e7
3	0	4	5	1079.399	0.00736		33	153.6e7
3	0	7	6	1080.492	0.00930		13	153.6e7
3	0	5	6	1085.382	0.00794		13	153.6e7
3	0	8	7	1086.626	0.00916		45	153.6e7
3	0	6	7	1092.240	0.00797		45	153.6e7

4	0	1	0	1049.366	0.0235		1	145.0e7
4	0	2	1	1049.958	0.0160		9	145.0e7
4	0	0	1	1051.031	0.00749		9	145.0e7
4	0	3	2	1051.497	0.0147		5	145.0e7
4	0	1	2	1053.281	0.00878		5	145.0e7
4	0	4	3	1053.976	0.0142		21	145.0e7
